Age,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Gender_female,Gender_male,Gender_other,no_employees_mid
37,United Kingdom,Unknown,no,Yes,Yes,Rarely,more than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Difficult,Yes,Maybe,Maybe,No,No,Yes,No,Yes,False,True,False,1500
25,United States,IL,no,Yes,Yes,Sometimes,26-100,No,No,Unknown,No,No,Unknown,Unknown,Difficult,Maybe,No,Maybe,Maybe,No,Maybe,No,No,False,True,False,63
27,United States,CA,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,No,No,No,Maybe,No,Maybe,Maybe,No,False,True,False,1500
26,United States,OK,no,No,No,Often,26-100,No,No,Unknown,Unknown,No,No,Unknown,Easy,Yes,Maybe,Maybe,Yes,No,Maybe,No,No,False,True,False,63
27,United States,UT,no,No,Yes,Rarely,26-100,Yes,Yes,No,Yes,No,No,Unknown,Difficult,Maybe,No,Maybe,Yes,No,No,Maybe,Yes,False,True,False,63
25,United States,IL,no,Yes,Yes,Sometimes,26-100,No,Yes,Unknown,Unknown,No,No,Unknown,Easy,Maybe,No,Maybe,No,No,No,Maybe,Yes,False,True,False,63
36,United Kingdom,Unknown,no,No,Yes,Sometimes,more than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,Maybe,Maybe,Maybe,No,Maybe,Maybe,Yes,False,True,False,1500
25,United States,NY,no,Yes,Yes,Sometimes,500-1000,No,Yes,Yes,No,No,No,Unknown,Easy,Yes,Yes,Maybe,Maybe,No,No,Maybe,No,True,False,False,750
31,United States,CA,no,No,No,Never,more than 1000,No,Yes,Yes,No,No,Yes,Unknown,Easy,No,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,1500
26,United States,MA,no,Yes,No,Rarely,6-25,No,Yes,Unknown,No,No,No,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Maybe,No,False,True,False,15
33,United States,WA,yes,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,Yes,Yes,Yes,Difficult,No,No,Maybe,Yes,No,Yes,Yes,No,True,False,False,3
27,United Kingdom,Unknown,yes,Yes,No,Sometimes,1-5,Yes,Yes,No,Yes,No,No,Yes,Easy,No,No,Yes,Yes,No,Maybe,Yes,No,False,False,True,3
34,United States,MN,no,No,No,Never,26-100,No,Yes,No,No,No,No,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Maybe,Maybe,No,False,True,False,63
42,United States,CA,no,No,No,Sometimes,6-25,No,Yes,No,Yes,No,No,Unknown,Difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,False,True,False,15
23,Ireland,Unknown,yes,Yes,No,Sometimes,1-5,No,Yes,No,No,No,No,Unknown,Difficult,Yes,No,No,No,No,Maybe,No,No,False,True,False,3
24,United Kingdom,Unknown,no,No,No,Rarely,100-500,No,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,Maybe,Maybe,No,False,True,False,300
26,United Kingdom,Unknown,no,No,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Easy,No,No,Yes,Yes,No,No,Maybe,No,False,True,False,1500
31,United Kingdom,Unknown,yes,No,Yes,Often,6-25,No,Yes,Unknown,No,No,No,Unknown,Easy,Maybe,No,Maybe,Yes,No,Maybe,Maybe,No,False,True,False,15
22,India,Unknown,no,No,Yes,Never,more than 1000,No,Yes,Unknown,Unknown,No,No,Unknown,Difficult,Yes,Maybe,No,No,Maybe,Maybe,No,No,False,True,False,1500
23,United States,NC,no,No,No,Sometimes,6-25,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,Yes,No,Maybe,Yes,No,True,False,False,15
34,Canada,Unknown,no,Yes,Yes,Sometimes,more than 1000,No,No,Yes,Yes,Yes,No,Unknown,Easy,No,No,Maybe,Yes,No,No,No,No,True,False,False,1500
31,United States,MO,no,No,No,Never,26-100,No,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,Maybe,No,No,Maybe,No,Maybe,Maybe,No,False,True,False,63
28,United Kingdom,Unknown,no,No,No,Sometimes,100-500,No,No,No,Unknown,No,Yes,Yes,Easy,No,No,Maybe,Maybe,Maybe,Maybe,Yes,No,False,True,False,300
32,United States,MA,no,No,Yes,Often,6-25,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Easy,No,No,Yes,Yes,No,No,Yes,Yes,True,False,False,15
45,United States,CA,no,No,Yes,Sometimes,1-5,No,Yes,Yes,No,No,No,Yes,Difficult,No,No,Yes,Yes,No,No,Yes,No,True,False,False,3
33,United States,TX,no,No,No,Sometimes,6-25,Yes,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Yes,Yes,No,Maybe,Maybe,No,False,True,False,15
29,Mexico,Unknown,no,No,No,Never,6-25,Yes,Yes,No,No,No,No,No,Easy,Maybe,Maybe,No,Yes,Maybe,Yes,No,No,False,True,False,15
26,India,Unknown,yes,No,No,Sometimes,6-25,No,No,No,No,No,No,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,No,Maybe,No,True,False,False,15
28,United Kingdom,Unknown,no,No,No,Never,26-100,No,Yes,Unknown,No,No,Unknown,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Maybe,No,True,False,False,63
45,United States,CA,no,No,Yes,Sometimes,more than 1000,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,Yes,Yes,Maybe,Maybe,No,No,Maybe,No,False,True,False,1500
43,United States,WA,no,Yes,Yes,Often,more than 1000,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Difficult,Yes,Maybe,No,No,No,No,No,No,False,True,False,1500
37,United States,MA,no,No,No,Sometimes,500-1000,Yes,Yes,Yes,No,No,No,Unknown,Easy,Yes,No,Maybe,No,Maybe,Yes,No,No,False,True,False,750
24,United Kingdom,Unknown,no,No,No,Sometimes,6-25,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Yes,Maybe,Yes,Yes,No,False,True,False,15
26,France,Unknown,no,No,No,Sometimes,6-25,Yes,Yes,No,Yes,No,No,Unknown,Easy,No,No,Maybe,No,No,Maybe,Yes,No,False,True,False,15
23,United Kingdom,Unknown,no,Yes,No,Sometimes,1-5,Yes,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Maybe,Yes,Maybe,Yes,Maybe,No,False,True,False,3
35,United States,CA,no,Yes,Yes,Never,more than 1000,No,Yes,Yes,Unknown,Unknown,No,Yes,Easy,Maybe,No,No,No,No,No,Maybe,No,True,False,False,1500
38,South Africa,Unknown,yes,Yes,Yes,Often,1-5,Yes,Yes,No,Yes,No,No,Yes,Easy,Maybe,Maybe,Maybe,Maybe,No,Maybe,Maybe,Yes,True,False,False,3
28,United States,MI,no,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,No,Unknown,Easy,Maybe,Maybe,Maybe,No,No,Maybe,No,No,False,True,False,63
28,Russia,Unknown,no,No,No,Sometimes,26-100,No,Yes,No,No,No,No,Unknown,Easy,Yes,Maybe,No,No,No,Maybe,Maybe,No,False,True,False,63
35,United States,CA,no,No,Yes,Rarely,6-25,No,Yes,No,No,No,No,Yes,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,15
32,Germany,Unknown,no,No,No,Sometimes,100-500,No,Yes,No,No,No,No,Unknown,Difficult,Yes,Yes,Maybe,No,No,No,No,Yes,True,False,False,300
31,Italy,Unknown,yes,Yes,No,Never,6-25,No,Yes,No,No,No,No,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,Maybe,Maybe,No,False,False,True,15
35,United States,NY,no,No,No,Never,500-1000,Yes,Yes,Unknown,Unknown,No,No,Unknown,Easy,Maybe,Maybe,Maybe,No,No,No,Maybe,No,True,False,False,750
26,United States,CA,no,No,No,Rarely,more than 1000,No,Yes,Yes,No,No,No,Yes,Easy,No,No,Maybe,Yes,No,Maybe,No,No,False,True,False,1500
27,United States,TN,no,Yes,No,Sometimes,6-25,Yes,Yes,Yes,Yes,No,No,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,Maybe,Yes,No,False,True,False,15
28,United Kingdom,Unknown,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Unknown,No,No,No,Unknown,Easy,Maybe,Maybe,Maybe,No,No,Maybe,Maybe,No,False,True,False,1500
27,United States,OR,no,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,No,Unknown,Easy,No,No,Maybe,Maybe,No,No,Yes,No,True,False,False,63
34,United States,MN,no,No,Yes,Sometimes,500-1000,No,No,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,No,Maybe,Yes,No,No,Yes,No,True,False,False,750
41,United States,FL,no,No,Yes,Often,6-25,Yes,Yes,No,Unknown,No,No,Unknown,Difficult,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,False,True,False,15
37,Ireland,Unknown,no,No,No,Sometimes,1-5,No,Yes,No,Yes,No,No,Unknown,Difficult,Yes,No,No,No,No,Yes,Maybe,No,False,True,False,3
34,Austria,Unknown,no,Yes,No,Sometimes,100-500,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,No,No,Yes,Yes,No,No,Yes,No,False,True,False,300
32,United Kingdom,Unknown,no,Yes,Yes,Sometimes,100-500,Yes,Yes,Unknown,Unknown,No,No,Unknown,Difficult,Yes,Maybe,No,No,No,No,No,Yes,False,True,False,300
21,Canada,Unknown,no,No,Yes,Sometimes,6-25,Yes,Yes,No,Yes,No,No,Unknown,Difficult,No,No,Maybe,Maybe,Maybe,Maybe,Yes,No,False,True,False,15
30,United States,MA,no,No,Yes,Often,26-100,No,Yes,No,Yes,No,No,Yes,Easy,Maybe,No,Yes,Yes,No,Maybe,Maybe,No,False,True,False,63
24,United States,KS,no,No,No,Never,26-100,No,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,63
26,Bulgaria,Unknown,no,No,No,Sometimes,100-500,No,Yes,No,No,No,No,No,Easy,Yes,Maybe,No,No,No,Maybe,Maybe,No,False,True,False,300
40,United States,DC,no,No,No,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,No,Yes,No,True,False,False,63
37,United Kingdom,Unknown,no,Yes,No,Sometimes,26-100,No,No,No,No,No,No,Unknown,Easy,Yes,Maybe,Maybe,Yes,No,Maybe,Maybe,No,False,True,False,63
26,United Kingdom,Unknown,yes,No,Yes,Often,1-5,Yes,Yes,No,No,No,No,Unknown,Easy,Yes,No,No,No,No,Maybe,Maybe,No,False,True,False,3
32,United States,TX,no,Yes,Yes,Sometimes,6-25,No,Yes,Unknown,No,No,No,No,Easy,Yes,Maybe,Maybe,Maybe,No,Maybe,No,Yes,True,False,False,15
32,United States,MA,no,No,Yes,Sometimes,100-500,No,No,Yes,Yes,Unknown,Unknown,Yes,Easy,No,No,Yes,Yes,No,Yes,Yes,No,True,False,False,300
27,United States,MI,yes,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,Unknown,Unknown,Unknown,Difficult,No,No,Maybe,No,No,No,Maybe,No,True,False,False,3
30,Germany,Unknown,yes,No,Yes,Often,6-25,Yes,Yes,Yes,Yes,No,No,Yes,Difficult,No,No,Maybe,Yes,Maybe,Yes,Yes,No,False,True,False,15
31,Canada,Unknown,yes,No,No,Sometimes,6-25,No,Yes,Yes,Yes,No,Unknown,Yes,Easy,No,No,Maybe,Maybe,No,No,Yes,No,False,True,False,15
29,United States,NY,no,No,Yes,Never,500-1000,No,No,Yes,No,No,Unknown,Unknown,Difficult,Maybe,No,Maybe,No,No,No,Maybe,No,True,False,False,750
41,United States,VA,no,No,No,Sometimes,26-100,No,Yes,Yes,Unknown,No,No,Unknown,Easy,Yes,No,No,Maybe,No,No,Maybe,No,False,False,True,63
34,United States,WA,no,No,No,Sometimes,6-25,No,Yes,Yes,No,No,No,Unknown,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,True,False,False,15
33,United Kingdom,Unknown,no,No,No,Sometimes,26-100,No,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Yes,Yes,Yes,Yes,Maybe,No,False,True,False,63
28,United States,PA,no,No,No,Rarely,6-25,No,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Maybe,Maybe,No,Maybe,Maybe,No,False,True,False,15
28,United States,MI,no,No,Yes,Sometimes,more than 1000,No,Yes,No,Yes,No,No,Yes,Difficult,Yes,No,No,Maybe,No,No,No,No,False,True,False,1500
23,United States,PA,no,No,No,Never,26-100,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,No,No,No,Yes,No,Yes,Yes,No,False,True,False,63
24,United States,OR,no,No,No,Sometimes,1-5,No,Yes,Unknown,No,Unknown,No,Yes,Easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,False,True,False,3
32,United States,WA,no,No,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Unknown,Difficult,No,No,Maybe,Yes,No,Maybe,Yes,No,False,True,False,3
34,Australia,Unknown,yes,No,No,Sometimes,1-5,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Difficult,Yes,Yes,No,No,No,Maybe,Yes,No,False,True,False,3
24,United States,PA,no,No,No,Never,6-25,No,Yes,Yes,Unknown,No,Unknown,Unknown,Easy,Maybe,No,Maybe,No,Maybe,Maybe,Yes,No,False,True,False,15
26,United Kingdom,Unknown,yes,No,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Maybe,Yes,No,False,True,False,3
36,United States,OH,no,No,Yes,Sometimes,26-100,No,Yes,Yes,No,No,Yes,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Maybe,Maybe,Yes,False,True,False,63
41,United States,TX,no,No,Yes,Rarely,500-1000,Yes,Yes,Yes,Yes,No,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,No,Maybe,Maybe,No,No,False,True,False,750
38,United Kingdom,Unknown,no,No,Yes,Sometimes,more than 1000,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Difficult,Yes,No,No,No,No,Maybe,No,No,False,True,False,1500
38,United States,NH,no,No,No,Sometimes,26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,Yes,No,Maybe,No,No,False,True,False,63
30,Netherlands,Unknown,no,No,No,Sometimes,26-100,No,Yes,Unknown,No,Unknown,Unknown,Yes,Easy,No,No,Maybe,Maybe,No,No,Yes,No,False,True,False,63
25,United Kingdom,Unknown,no,No,No,Never,26-100,No,Yes,No,No,No,No,Unknown,Difficult,Yes,Maybe,No,No,No,Maybe,No,No,False,True,False,63
37,Canada,Unknown,no,Yes,Yes,Often,26-100,No,Yes,Yes,Yes,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Yes,Maybe,No,False,True,False,63
34,United Kingdom,Unknown,no,Yes,No,Sometimes,6-25,No,Yes,No,No,No,No,Yes,Difficult,No,No,Maybe,Yes,No,Yes,No,Yes,False,True,False,15
37,United States,NC,no,Yes,Yes,Sometimes,more than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Maybe,No,Maybe,Yes,No,True,False,False,1500
28,Canada,Unknown,no,Yes,Yes,Sometimes,6-25,No,No,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,No,No,Yes,True,False,False,15
22,Sweden,Unknown,no,No,No,Sometimes,6-25,No,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,No,No,False,True,False,15
34,United States,FL,no,Yes,Yes,Sometimes,1-5,No,Yes,No,No,No,No,Unknown,Difficult,Maybe,No,Maybe,Maybe,No,Maybe,No,Yes,False,True,False,3
33,United States,CA,no,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,63
25,South Africa,Unknown,no,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Yes,Difficult,Maybe,No,Maybe,Yes,No,Yes,No,No,False,True,False,15
27,United States,GA,no,No,No,Never,more than 1000,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,False,True,False,1500
40,United States,OH,no,No,Yes,Sometimes,more than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Yes,Maybe,No,No,No,Maybe,No,Yes,False,True,False,1500
21,United States,KY,no,No,Yes,Often,6-25,No,No,Unknown,No,No,Unknown,Unknown,Easy,Maybe,No,No,No,No,Maybe,Maybe,No,False,True,False,15
29,United Kingdom,Unknown,no,No,No,Sometimes,6-25,No,No,No,No,No,No,Yes,Easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,False,True,False,15
32,United States,NC,no,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,Unknown,Easy,Maybe,No,Yes,Yes,No,Yes,Maybe,No,False,True,False,3
29,United States,NY,no,Yes,Yes,Rarely,500-1000,Yes,No,Yes,Yes,Yes,Unknown,Yes,Easy,Maybe,No,Maybe,No,Maybe,Yes,Maybe,No,True,False,False,750
23,United States,AL,no,Yes,Yes,Sometimes,26-100,Yes,No,Unknown,No,No,Unknown,Yes,Easy,Maybe,No,Maybe,Maybe,No,Yes,Yes,No,False,True,False,63
28,United States,GA,no,Yes,No,Sometimes,100-500,No,Yes,Yes,No,No,Unknown,Yes,Easy,No,No,Maybe,Yes,No,Maybe,Yes,Yes,False,True,False,300
31,United States,CA,no,Yes,Yes,Rarely,100-500,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Easy,No,No,Maybe,Yes,No,Maybe,Yes,No,False,True,False,300
27,United Kingdom,Unknown,no,No,No,Sometimes,100-500,No,No,Unknown,Unknown,Unknown,Unknown,No,Easy,Maybe,Maybe,Yes,Yes,No,No,Maybe,No,False,True,False,300
24,United States,VA,no,No,No,Sometimes,6-25,No,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,No,No,Yes,Yes,Maybe,Maybe,Maybe,No,False,True,False,15
29,Canada,Unknown,no,No,No,Often,6-25,No,Yes,No,No,No,No,Unknown,Difficult,Yes,No,No,No,No,Maybe,Maybe,No,False,True,False,15
23,United Kingdom,Unknown,no,No,Yes,Sometimes,6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,Maybe,Yes,No,True,False,False,15
42,United States,WA,no,No,No,Never,6-25,Yes,Yes,No,Yes,No,Yes,Unknown,Easy,No,No,Maybe,Yes,No,No,Yes,No,False,True,False,15
24,United Kingdom,Unknown,no,No,No,Sometimes,1-5,No,Yes,No,No,No,No,Unknown,Easy,Yes,No,Maybe,Maybe,No,Yes,No,No,False,True,False,3
25,Australia,Unknown,no,Yes,Yes,Often,6-25,No,Yes,No,Yes,No,No,No,Difficult,Yes,Maybe,No,No,No,Yes,No,Yes,False,True,False,15
27,United States,TX,no,No,Yes,Rarely,6-25,No,Yes,Yes,No,No,No,Yes,Easy,Maybe,Maybe,Yes,No,No,Maybe,Maybe,No,True,False,False,15
27,Canada,Unknown,no,No,No,Sometimes,6-25,Yes,Yes,No,Yes,No,No,No,Difficult,Yes,Yes,Maybe,Maybe,No,Maybe,No,No,False,True,False,15
30,United States,FL,no,No,Yes,Sometimes,100-500,Yes,Yes,Yes,Yes,No,Yes,Yes,Easy,No,No,Yes,Yes,Maybe,No,Yes,No,False,True,False,300
29,Poland,Unknown,no,Yes,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,Yes,Difficult,Maybe,No,Maybe,Maybe,No,Yes,No,No,False,True,False,15
43,Canada,Unknown,yes,No,No,Sometimes,6-25,Yes,Yes,No,Unknown,No,No,Unknown,Easy,Maybe,No,Yes,Yes,Yes,Yes,Maybe,No,False,True,False,15
32,United States,NV,no,No,No,Sometimes,6-25,No,Yes,No,Yes,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,Maybe,Maybe,No,False,True,False,15
41,United States,AL,no,No,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Unknown,No,Unknown,Easy,No,No,Yes,Yes,Yes,Yes,Yes,No,False,True,False,63
32,United Kingdom,Unknown,yes,Yes,Yes,Sometimes,1-5,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,Maybe,Maybe,Yes,Maybe,Maybe,Maybe,Maybe,Yes,False,True,False,3
37,United States,CA,no,Yes,Yes,Often,26-100,No,Yes,Yes,Yes,No,No,Yes,Easy,Maybe,No,Maybe,Maybe,No,Yes,Maybe,No,True,False,False,63
32,United States,CO,no,No,No,Never,6-25,Yes,Yes,No,No,No,No,Unknown,Easy,No,No,Yes,Yes,No,No,Maybe,No,False,True,False,15
30,Ireland,Unknown,yes,No,No,Sometimes,1-5,Yes,Yes,No,No,No,No,Unknown,Difficult,No,No,Maybe,Maybe,No,Maybe,No,No,False,True,False,3
23,United States,MN,no,Yes,Yes,Never,100-500,No,No,Yes,No,Unknown,Unknown,Yes,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,True,False,False,300
30,United States,NJ,no,No,No,Sometimes,more than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,No,Yes,No,False,True,False,1500
34,United Kingdom,Unknown,no,No,No,Sometimes,26-100,No,Yes,No,Yes,No,No,Unknown,Easy,Maybe,Maybe,Yes,Maybe,No,No,Maybe,No,False,True,False,63
38,United States,PA,no,No,Yes,Rarely,26-100,Yes,Yes,Yes,No,No,No,Unknown,Easy,Yes,No,No,No,No,Maybe,No,No,False,True,False,63
33,Canada,Unknown,no,No,No,Sometimes,100-500,No,Yes,Yes,No,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,300
34,United States,MO,no,No,No,Sometimes,26-100,No,No,Yes,No,No,No,Unknown,Easy,Maybe,No,Maybe,No,No,No,Maybe,No,False,True,False,63
28,Colombia,Unknown,no,No,No,Sometimes,6-25,No,Yes,No,Yes,No,No,Unknown,Easy,Maybe,Maybe,No,Maybe,No,No,Maybe,No,False,True,False,15
28,United States,MN,no,No,Yes,Rarely,100-500,No,No,Yes,Yes,Yes,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,No,Yes,No,False,True,False,300
23,United States,PA,no,Yes,No,Sometimes,100-500,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Maybe,No,Maybe,No,No,Maybe,No,No,False,True,False,300
22,Australia,Unknown,yes,Yes,Yes,Sometimes,6-25,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Easy,Maybe,No,Maybe,Yes,No,Yes,No,Yes,False,True,False,15
27,Portugal,Unknown,no,No,No,Never,6-25,No,Yes,No,No,No,No,Yes,Easy,Yes,No,No,No,No,Maybe,Maybe,No,False,True,False,15
18,United States,TX,no,No,Yes,Sometimes,6-25,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Yes,No,No,No,No,Maybe,Maybe,No,False,True,False,15
35,United States,NY,no,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Yes,Difficult,Yes,No,No,Maybe,No,Maybe,Maybe,No,False,True,False,63
25,Canada,Unknown,no,No,No,Sometimes,100-500,No,No,Unknown,Unknown,No,No,Unknown,Easy,No,No,Maybe,Maybe,No,Yes,No,No,False,True,False,300
27,United Kingdom,Unknown,no,Yes,Yes,Sometimes,6-25,No,Yes,No,No,No,No,Yes,Easy,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,False,True,False,15
26,United States,WA,no,Yes,Yes,Rarely,more than 1000,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,No,Maybe,No,True,False,False,1500
18,United States,WA,no,No,No,Never,26-100,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Maybe,No,Maybe,Yes,No,False,True,False,63
38,United States,TX,no,No,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Unknown,Easy,No,Maybe,Maybe,No,No,No,Maybe,Yes,True,False,False,3
26,United States,TX,no,Yes,Yes,Rarely,more than 1000,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Easy,Maybe,No,Maybe,No,No,No,Maybe,No,True,False,False,1500
30,Switzerland,Unknown,yes,No,No,Never,1-5,No,Yes,No,No,No,No,No,Easy,No,No,Yes,Yes,No,No,Yes,No,False,True,False,3
35,United States,CA,no,No,No,Never,more than 1000,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Yes,Maybe,Maybe,Maybe,No,No,Maybe,No,False,True,False,1500
45,United States,NY,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Easy,Maybe,No,Maybe,Maybe,No,Maybe,Maybe,No,False,True,False,1500
32,United States,CA,no,No,No,Never,more than 1000,No,Yes,Yes,No,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,1500
56,United States,Unknown,no,No,Yes,Never,more than 1000,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Easy,No,Maybe,Yes,Maybe,No,Maybe,Maybe,No,False,True,False,1500
24,United States,CA,no,No,No,Sometimes,500-1000,No,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,No,No,Maybe,No,No,True,False,False,750
30,United States,SC,no,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Easy,No,No,Yes,Yes,No,Yes,Yes,No,True,False,False,63
60,United States,CA,no,No,No,Sometimes,more than 1000,No,Yes,Yes,No,Unknown,Yes,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,False,True,False,1500
33,United States,CA,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Yes,No,Yes,Yes,Unknown,Easy,Yes,No,No,No,No,Maybe,Maybe,No,False,True,False,1500
37,United States,NY,no,No,No,Never,more than 1000,No,Yes,Yes,Yes,Yes,Yes,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,Maybe,No,False,True,False,1500
23,United States,NY,no,No,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,Yes,Yes,Unknown,Easy,No,No,Maybe,Maybe,No,No,Yes,No,True,False,False,1500
31,United States,CA,no,No,Yes,Sometimes,more than 1000,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,Easy,No,No,Yes,Yes,No,No,Yes,No,True,False,False,1500
26,United States,MA,no,No,No,Rarely,100-500,No,Yes,Yes,Unknown,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,Maybe,Maybe,No,False,True,False,300
28,United States,WA,no,Yes,Yes,Often,100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,Easy,Yes,No,Maybe,Yes,No,No,Yes,No,True,False,False,300
37,United States,CA,no,No,Yes,Rarely,more than 1000,No,Yes,Yes,Yes,Unknown,Yes,Unknown,Easy,No,No,Maybe,Yes,No,No,Yes,No,True,False,False,1500
26,Canada,Unknown,no,Yes,Yes,Often,6-25,No,Yes,Yes,No,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,Maybe,Maybe,Yes,No,False,True,False,15
30,United States,IL,no,Yes,Yes,Rarely,26-100,No,Yes,Yes,Unknown,No,No,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Maybe,No,False,False,True,63
